L 314.0050, -61.9127, -1.9980,  314.0050, -61.9127, -1.9980,  0, 0, 0
L 245.1765, -125.0458, 45.6343,  300.8745, -125.0387, 41.4507,  0, 0, 0
L 217.8004, 167.4982, 41.7556,  265.3812, 204.1445, 33.3881,  0, 0, 0
L 217.8009, 138.7542, 42.9691,  217.8004, 167.4982, 42.8609,  0, 0, 0
L 210.7947, 118.7824, 40.3533,  210.7996, 48.4174, 38.3850,  0, 0, 0
L 183.1531, 21.2163, 17.0364,  252.9215, -27.6214, 7.2109,  127, 64, 0
L 252.9215, -27.6214, -3.9980,  259.6214, -42.5141, -3.9980,  127, 64, 0
L 245.1664, -56.9710, -0.4541,  196.9571, -43.1953, 16.6104,  127, 64, 0
L 197.2789, -45.7691, 16.6104,  203.7407, -97.4529, 25.3145,  0, 0, 0
L 202.9419, -96.9210, 24.1988,  251.9413, -68.9208, -0.4638,  127, 64, 0
L 251.9413, -68.9208, -3.9980,  273.0376, -82.9841, -3.9980,  127, 64, 0
L 202.9419, -96.9210, 30.7972,  245.1765, -125.0458, 30.7970,  0, 0, 0
L 244.6585, -124.7008, 29.0430,  272.3331, -83.2193, 9.1033,  127, 64, 0
L 273.0376, -82.9841, -1.9980,  294.0067, -75.9840, -1.9980,  127, 64, 0
L 290.9248, -73.9292, -3.9980,  315.9719, -90.6282, -3.9980,  127, 0, 0
L 316.1851, -90.0956, -0.8914,  302.1328, -125.1961, 11.1799,  127, 64, 0
L 300.8745, -125.0387, 12.4347,  356.9019, -132.0459, 23.4521,  0, 0, 0
L 357.4315, -132.0459, 16.9318,  370.2007, -132.0456, 21.1886,  0, 0, 0
L 370.2007, -132.0456, 21.9217,  377.0779, -111.4446, 21.9217,  0, 0, 0
L 376.8535, -112.1168, 21.1011,  341.7628, -62.9463, 11.3754,  127, 64, 0
L 336.1131, -82.2469, 6.3849,  357.4315, -132.0459, 14.7512,  127, 64, 0
L 336.5887, -83.3578, -3.9980,  316.1851, -90.0956, -3.9980,  127, 0, 0
L 336.1131, -82.2469, -3.9971,  344.3716, -58.2134, -3.9980,  127, 0, 0
L 341.7628, -62.9463, -3.9980,  348.9190, -49.9632, -3.9980,  127, 0, 0
L 259.9927, -42.1452, -3.9980,  246.4024, -55.7341, -3.9980,  127, 0, 0
L 245.7594, -56.3776, -1.9979,  250.8389, -69.5507, -1.9980,  127, 64, 0
L 196.5165, 41.2766, 26.0205,  182.7044, 20.5426, 32.2051,  0, 0, 0
L 197.2789, -45.7691, 32.6266,  182.7044, 20.5426, 46.8149,  0, 0, 0
L 251.6233, -14.9600, 12.7812,  196.0452, 40.5692, 24.9896,  127, 64, 0
L 252.3444, -14.9041, -3.9980,  259.3613, -14.3603, -3.9980,  127, 0, 0
L 259.3613, -14.3603, -3.9980,  265.8426, 6.1079, -3.9980,  127, 0, 0
L 265.8426, 6.1079, -3.9971,  280.2549, 28.8809, -3.9980,  127, 0, 0
L 278.2320, 25.6845, -3.9980,  308.5487, 56.4569, -3.9980,  127, 0, 0
L 308.5487, 56.4569, -3.9980,  308.2045, 83.9844, -3.9980,  127, 0, 0
L 308.2045, 83.9844, -3.9980,  300.5522, 98.7272, -2.0858,  127, 0, 0
L 300.5522, 98.7272, -3.9980,  293.0443, 105.8719, -2.0626,  127, 0, 0
L 293.0443, 105.8719, -3.9980,  281.6258, 111.2703, -3.9980,  127, 0, 0
L 281.6258, 111.2703, -3.9968,  268.9885, 124.1287, -3.9980,  127, 0, 0
L 266.7927, 126.3630, -3.9980,  265.8054, 204.3264, -3.9980,  127, 0, 0
