L 100.2764, -72.7641, -11.8307,  89.4950, -84.9561, -11.9078,  240, 0, 0
L 106.7293, -65.4665, -11.7858,  100.2764, -72.7641, -11.8307,  240, 0, 0
L 113.0943, -58.0925, -11.7763,  106.7293, -65.4665, -11.7858,  240, 0, 0
L 119.3416, -50.6681, -11.7986,  113.0943, -58.0925, -11.7763,  240, 0, 0
L 125.6430, -43.2731, -11.8026,  119.3416, -50.6681, -11.7986,  240, 0, 0
L 132.3944, -35.2393, -11.8313,  125.6430, -43.2731, -11.8026,  240, 0, 0
L 140.0838, -26.0252, -11.8713,  132.3944, -35.2393, -11.8313,  240, 0, 0
L 146.3476, -18.5813, -11.8937,  140.0838, -26.0252, -11.8713,  240, 0, 0
L 152.6554, -11.2083, -11.8922,  146.3476, -18.5813, -11.8937,  240, 0, 0
L 159.0155, -3.8963, -11.8672,  152.6554, -11.2083, -11.8922,  240, 0, 0
L 160.3275, -2.4488, -11.8533,  159.0155, -3.8963, -11.8672,  240, 0, 0
L 152.6028, 0.4782, -11.8548,  160.3275, -2.4488, -11.8533,  240, 0, 0
L 143.3872, 3.6681, -11.7588,  152.6028, 0.4782, -11.8548,  240, 0, 0
L 141.2026, 4.4478, -11.7337,  143.3872, 3.6681, -11.7588,  240, 0, 0
L 139.3910, 4.9955, -11.7754,  141.2026, 4.4478, -11.7337,  240, 0, 0
L 137.6169, 5.0873, -12.2528,  139.3910, 4.9955, -11.7754,  240, 0, 0
L 138.4153, 3.2618, -13.1649,  137.6169, 5.0873, -12.2528,  240, 0, 0
L 138.9318, 1.4889, -13.8515,  138.4153, 3.2618, -13.1649,  240, 0, 0
L 133.4606, -2.1771, -13.8686,  138.9318, 1.4889, -13.8515,  240, 0, 0
L 125.1005, -7.3753, -13.8424,  133.4606, -2.1771, -13.8686,  240, 0, 0
L 123.5215, -8.3020, -13.9036,  125.1005, -7.3753, -13.8424,  240, 0, 0
L 122.0422, -9.3480, -13.7770,  123.5215, -8.3020, -13.9036,  240, 0, 0
L 121.8196, -10.9843, -13.8121,  122.0422, -9.3480, -13.7770,  240, 0, 0
L 122.3277, -12.8870, -13.8121,  121.8196, -10.9843, -13.8121,  240, 0, 0
L 119.9736, -11.6484, -13.8121,  122.3277, -12.8870, -13.8121,  240, 0, 0
L 118.5067, -10.8022, -13.8121,  119.9736, -11.6484, -13.8121,  240, 0, 0
L 113.9356, -2.7294, -13.8256,  118.5067, -10.8022, -13.8121,  240, 0, 0
L 105.8964, 11.6656, -13.8278,  113.9356, -2.7294, -13.8256,  240, 0, 0
L 105.1606, 12.9882, -13.8060,  105.8964, 11.6656, -13.8278,  240, 0, 0
L 104.4055, 14.7682, -12.6423,  105.1606, 12.9882, -13.8060,  240, 0, 0
L 106.1767, 15.3317, -12.1658,  104.4055, 14.7682, -12.6423,  240, 0, 0
L 97.5118, 16.3642, -12.1809,  106.1767, 15.3317, -12.1658,  240, 0, 0
L 94.0247, 16.9406, -12.0523,  97.5118, 16.3642, -12.1809,  240, 0, 0
L 91.7891, 17.4257, -11.8801,  94.0247, 16.9406, -12.0523,  240, 0, 0
L 89.8898, 17.9341, -11.6849,  91.7891, 17.4257, -11.8801,  240, 0, 0
L 87.9595, 17.7099, -11.6957,  89.8898, 17.9341, -11.6849,  240, 0, 0
L 43.1237, 4.1510, -11.7194,  87.9595, 17.7099, -11.6957,  240, 0, 0
L 33.7773, 1.3161, -11.7226,  43.1237, 4.1510, -11.7194,  240, 0, 0
L 24.5001, -1.3955, -11.6410,  33.7773, 1.3161, -11.7226,  240, 0, 0
L 22.8260, -1.8517, -11.6097,  24.5001, -1.3955, -11.6410,  240, 0, 0
L 39.7024, -23.4765, -11.9926,  22.8260, -1.8517, -11.6097,  240, 0, 0
L 45.6531, -31.1064, -12.0192,  39.7024, -23.4765, -11.9926,  240, 0, 0
L 46.8262, -32.6509, -12.0142,  45.6531, -31.1064, -12.0192,  240, 0, 0
L 47.8611, -34.1208, -11.9890,  46.8262, -32.6509, -12.0142,  240, 0, 0
L 53.1414, -40.7979, -12.0231,  47.8611, -34.1208, -11.9890,  240, 0, 0
L 59.4583, -48.5065, -12.0350,  53.1414, -40.7979, -12.0231,  240, 0, 0
L 89.1586, -85.5976, -11.8616,  59.4583, -48.5065, -12.0350,  240, 0, 0
L -513.2355, -779.1958, 185.1108,  -510.6646, -780.0540, 185.2095,  240, 127, 0
L -502.5594, -782.7275, 185.1053,  -503.8277, -782.2963, 185.1725,  240, 127, 0
L -493.4460, -778.6332, 184.4233,  -502.5594, -782.7275, 185.1053,  240, 127, 0
L -491.7963, -777.8596, 184.2892,  -493.4460, -778.6332, 184.4233,  240, 127, 0
L -488.3349, -768.4443, 183.4259,  -491.7963, -777.8596, 184.2892,  240, 127, 0
L -487.6917, -766.7023, 183.2540,  -488.3349, -768.4443, 183.4259,  240, 127, 0
L -491.9210, -757.7960, 182.7372,  -487.6917, -766.7023, 183.2540,  240, 127, 0
L -492.7103, -756.1447, 182.6372,  -491.9210, -757.7960, 182.7372,  240, 127, 0
